gene,log2FC,pvalue,neglog10p
ACOT7,0.06464579882896837,4.172010527589477e-27,10.0
AL031848.2,0.006733972185085514,4.18417113419036e-06,5.378380181629413
ESPN,0.022020417718209603,1.1823522855549984e-10,9.661075142233797
AL031848.1,-0.0002532286654849329,0.3173717934256071,0.4984316738651132
TNFRSF25,0.05755634723559995,9.183757002470696e-13,9.996029748147492
PLEKHG5,0.04518331144698498,2.5882112978809582e-20,9.999999999887596
NOL9,0.2643120707943195,1.4068846307679737e-137,10.0
TAS1R1,0.012160118122385224,1.0198771189231777e-05,4.991447893278908
ZBTB48,0.2387316275201632,9.886952332360573e-132,10.0
KLHL21,0.07533196164228688,2.48083515367987e-37,10.0
PHF13,0.022971466191586003,2.768905728405499e-11,9.89384631937543
THAP3,0.04028309963859592,1.0477808887346482e-19,9.999999999544954
DNAJC11,0.3383542490091286,3.802944979281417e-171,10.0
CAMTA1-DT,0.010998165313878653,3.891982834119267e-06,5.409817925336345
CAMTA1,0.620820192953692,0.0,10.0
AL512330.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
Z97987.1,-0.0002532286654849329,0.31737179342560706,0.4984316738651133
AL359881.3,0.0010132995079359093,0.157059310432962,0.8039363133677614
AL359881.2,0.0005065856129685917,0.15732549492643716,0.8032008930658616
AL359881.1,0.006080053611612908,0.0012833321547007458,2.8916608902327545
VAMP3,0.08322545410050432,1.0036018976020895e-46,10.0
Z98884.2,0.0005066497539679547,0.31716494389601163,0.4987148209459917
PER3,0.45651969981530616,4.967911246461101e-188,10.0
Z98884.1,0.0027870547043189727,0.06979720899516263,1.1561619426892031
UTS2,0.010873123495844766,1.0247073224413381e-07,6.988976544079613
TNFRSF9,0.0028636491550906333,0.21138084388846848,0.6749343724072829
PARK7,0.20072823427201436,4.662680273658122e-106,10.0
AL034417.4,0.008105882935492371,3.5804673495086313e-06,5.446048152898361
AL034417.3,0.0007600067014516135,0.25657586995225445,0.5907841897222633
ERRFI1,0.4949324859137223,4.517490594730198e-214,10.0
AL034417.2,0.0709753464612612,3.8454169175571617e-38,10.0
LINC01714,0.009625254928401968,4.1164819823161475e-09,8.375049751140837
SLC45A1,3.207049968148839e-07,0.9996803429384099,0.00013884744747960902
RERE,1.805833363259896,0.0,10.0
RERE-AS1,0.014568159272113,1.6255736938383183e-08,7.786329883146275
AL357552.2,0.004305977710233029,3.67893314844965e-05,4.43427692336903
ENO1,0.5502566024414536,1.0058840865962417e-305,10.0
ENO1-AS1,0.021721545112163593,1.5249607631155556e-17,9.9999999337718
CA6,0.0005066497539679547,0.3171649438960121,0.49871482094599107
SLC2A7,0.0012665281734208422,0.05867778717693929,1.2315262716442634
SLC2A5,-0.0025748941701215274,0.05030537372784714,1.298385619335287
GPR157,0.10209898237033496,3.144673448859343e-57,10.0
MIR34AHG,0.5065546622950473,3.159037497187903e-235,10.0
LNCTAM34A,0.14994023319461283,1.0940544510087234e-75,10.0
H6PD,0.2765485615704907,1.1704406731518987e-142,10.0
SPSB1,0.23776450564325702,6.837768639187061e-69,10.0
BX323043.1,-0.0002531645244855699,0.5638199207243171,0.24885958374778455
LINC02606,0.011399047644864418,1.4687022019334495e-07,6.832770655155959
AL928921.1,0.0,,
SLC25A33,0.17302002640958092,1.6535238262107074e-92,10.0
TMEM201,0.033968888434392275,1.232215956831091e-17,9.999999946485545
PIK3CD,-0.013864330852204204,0.03693060848211873,1.4326135355204754
PIK3CD-AS1,6.414099936298762e-08,0.9998571174595716,6.205748900723472e-05
PIK3CD-AS2,0.03173197325154398,2.0468662122922362e-16,9.999999111058209
CLSTN1,0.2554736160355793,5.093276497250484e-118,10.0
CTNNBIP1,0.5569017032716305,1.2857060850080886e-301,10.0
AL357140.1,0.0005065856129685917,0.15732549492643716,0.8032008930658616
AL357140.4,0.008359753010970934,5.110337849663065e-05,4.291549537429354
LZIC,0.09833486179564814,4.48058843523762e-65,10.0
AL357140.2,0.002026342451874367,0.00466464569964041,2.3311813279307265
NMNAT1,0.07817524266791483,3.56916003887691e-40,10.0
RBP7,-0.0002531645244855699,0.5638199207243172,0.24885958374778447
UBE4B,0.6219917809931012,0.0,10.0
KIF1B,0.6321847550256354,0.0,10.0
AL139424.3,0.0007600067014516135,0.25657586995225445,0.5907841897222633
AL139424.2,0.001519820979905138,0.03381160078401726,1.4709342661275935
PGD,0.13428847190993898,4.815165990982666e-66,10.0
AL139424.1,0.0005065856129685917,0.15732549492643708,0.8032008930658618
CENPS,0.08311956929468284,7.472211649217307e-48,10.0
CORT,0.005572505883653872,6.881999972180108e-06,5.162279022931187
DFFA,0.1441663733078024,2.0002764596967842e-76,10.0
AL354956.1,0.0005065856129685917,0.15732549492643708,0.8032008930658618
PEX14,0.5206836073552586,3.184344602739018e-286,10.0
AL139423.2,0.00025329280648429586,0.31737180895174844,0.49843165261899913
CASZ1,0.3998735166900802,2.858998427441853e-188,10.0
AL139423.1,0.0058263118181330715,0.00031538045193904015,3.501165091114826
C1orf127,0.03420249537890872,1.230806069240099e-18,9.999999994654678
TARDBP,0.3134885003529308,6.038534857189474e-171,10.0
MASP2,0.0007599425604522506,0.17957387023323437,0.7457568569541698
AL109811.2,0.018787606434336142,2.4071221829377335e-13,9.998955856305844
SRM,0.03462497208008265,2.2667303230115787e-15,9.999990155826858
EXOSC10,0.2801641396905312,2.915348648163902e-129,10.0
AL109811.1,0.01150398123485489,2.8067167351851947e-08,7.550256825904389
EXOSC10-AS1,0.0010131712259371835,0.04548657234186341,1.3421167874098325
MTOR,0.3739534072559587,4.3136914815014577e-181,10.0
MTOR-AS1,0.0005065856129685917,0.15732549492643716,0.8032008930658616
ANGPTL7,0.0005065856129685917,0.15732549492643716,0.8032008930658616
UBIAD1,0.04425484728088713,6.434079345160315e-22,9.999999999997206
AL031291.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
DISP3,0.0035460992907801418,0.0001809194299931699,3.7425145491686456
FBXO2,0.0011620435704259098,0.38100164816760257,0.41907314550029645
FBXO44,0.06515186098069356,9.416367013525186e-32,10.0
FBXO6,0.01682415642701491,1.054159691087561e-09,8.93773409745409
MAD2L2,0.014185102714113561,1.8205119103772267e-10,9.549672062008367
